stock_code,fiscal_year,esg_year,company_name,esg_grade,status,reason,rcept_no,sub_status
000810,2024,2024,삼성화재해상보험,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000860,2022,2022,강남제비스코,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000860,2023,2023,강남제비스코,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000860,2024,2024,강남제비스코,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000880,2022,2022,한화,A,FAILED_NO_PASSAGES,no firm_year_document,20230321001313.0,
000880,2023,2023,한화,B+,FAILED_NO_PASSAGES,no firm_year_document,20240430000953.0,
000880,2024,2024,한화,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001060,2022,2022,JW중외제약,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001060,2023,2023,JW중외제약,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001060,2024,2024,JW중외제약,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001250,2022,2022,GS글로벌,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001250,2023,2023,GS글로벌,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001250,2024,2024,GS글로벌,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001500,2022,2022,현대차증권,A,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001500,2023,2023,현대차증권,A,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001500,2024,2024,현대차증권,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001510,2022,2022,SK증권,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001510,2023,2023,SK증권,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001510,2024,2024,SK증권,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001720,2022,2022,신영증권,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001720,2023,2023,신영증권,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001720,2024,2024,신영증권,B+,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000240,2022,2022,한국앤컴퍼니,B,SUCCESS,,20230324001090.0,
000240,2023,2023,한국앤컴퍼니,B+,SUCCESS,,20240320001601.0,
000240,2024,2024,한국앤컴퍼니,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000500,2022,2022,가온전선,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000500,2023,2023,가온전선,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000500,2024,2024,가온전선,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000670,2022,2022,영풍,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000670,2023,2023,영풍,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000670,2024,2024,영풍,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
002350,2022,2022,넥센타이어,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002350,2023,2023,넥센타이어,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002350,2024,2024,넥센타이어,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
002600,2022,2022,조흥,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002600,2023,2023,조흥,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
002600,2024,2024,조흥,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
003240,2022,2022,태광산업,D,SUCCESS,,20230323001281.0,
003240,2023,2023,태광산업,C,SUCCESS,,20240329003575.0,
003240,2024,2024,태광산업,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
003280,2022,2022,흥아해운,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
003280,2023,2023,흥아해운,B,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
003280,2024,2024,흥아해운,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
003920,2022,2022,남양유업,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
003920,2023,2023,남양유업,B,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
003920,2024,2024,남양유업,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
004370,2022,2022,농심,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
004370,2023,2023,농심,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
004370,2024,2024,농심,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
004540,2022,2022,깨끗한나라,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
004540,2023,2023,깨끗한나라,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
004540,2024,2024,깨끗한나라,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005090,2022,2022,SGC에너지,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005090,2023,2023,SGC에너지,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005090,2024,2024,SGC에너지,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005290,2022,2022,동진쎄미켐,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005290,2023,2023,동진쎄미켐,B,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005290,2024,2024,동진쎄미켐,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005500,2022,2022,삼진제약,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005500,2023,2023,삼진제약,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005500,2024,2024,삼진제약,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005610,2022,2022,SPC삼립,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005610,2023,2023,SPC삼립,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005610,2024,2024,SPC삼립,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005850,2022,2022,에스엘,B+,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005850,2023,2023,에스엘,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005850,2024,2024,에스엘,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
005950,2022,2022,이수화학,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005950,2023,2023,이수화학,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
005950,2024,2024,이수화학,B,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000020,2022,2022,동화약품,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000020,2023,2023,동화약품,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000020,2024,2024,동화약품,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000050,2022,2022,경방,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000050,2023,2023,경방,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000050,2024,2024,경방,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000220,2022,2022,유유제약,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000220,2023,2023,유유제약,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000220,2024,2024,유유제약,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000480,2022,2022,조선내화,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000480,2023,2023,시알홀딩스,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000480,2024,2024,시알홀딩스,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000520,2022,2022,삼일제약,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000520,2023,2023,삼일제약,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000520,2024,2024,삼일제약,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000590,2022,2022,CS홀딩스,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000590,2023,2023,CS홀딩스,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000590,2024,2024,CS홀딩스,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000850,2022,2022,화천기공,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000850,2023,2023,화천기공,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000850,2024,2024,화천기공,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000910,2022,2022,유니온,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000910,2023,2023,유니온,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000910,2024,2024,유니온,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000990,2022,2022,DB하이텍,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000990,2023,2023,DB하이텍,B+,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000990,2024,2024,DB하이텍,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001020,2022,2022,페이퍼코리아,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001020,2023,2023,페이퍼코리아,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001020,2024,2024,페이퍼코리아,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001070,2022,2022,대한방직,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001070,2023,2023,대한방직,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001070,2024,2024,대한방직,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001130,2022,2022,대한제분,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001130,2023,2023,대한제분,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001130,2024,2024,대한제분,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001200,2022,2022,유진증권,B,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001200,2023,2023,유진증권,B,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001200,2024,2024,유진증권,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001270,2022,2022,부국증권,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001270,2023,2023,부국증권,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001270,2024,2024,부국증권,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001290,2022,2022,상상인증권,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001290,2023,2023,상상인증권,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001290,2024,2024,상상인증권,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001390,2022,2022,KG케미칼,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001390,2023,2023,KG케미칼,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001390,2024,2024,KG케미칼,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001520,2022,2022,동양,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001520,2023,2023,동양,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001520,2024,2024,동양,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001560,2022,2022,제일연마,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001560,2023,2023,제일연마,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001560,2024,2024,제일연마,C,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000040,2022,2022,KR모터스,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000040,2023,2023,KR모터스,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000040,2024,2024,KR모터스,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000180,2022,2022,성창기업지주,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000180,2023,2023,성창기업지주,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000180,2024,2024,성창기업지주,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000250,2022,2022,삼천당제약,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000250,2023,2023,삼천당제약,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000250,2024,2024,삼천당제약,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000650,2022,2022,천일고속,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000650,2023,2023,천일고속,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000650,2024,2024,천일고속,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000760,2022,2022,이화산업,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000760,2023,2023,이화산업,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000760,2024,2024,이화산업,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000890,2022,2022,보해양조,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000890,2023,2023,보해양조,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000890,2024,2024,보해양조,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000950,2022,2022,전방,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000950,2023,2023,전방,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000950,2024,2024,전방,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
000970,2022,2022,한국주철관공업,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000970,2023,2023,한국주철관공업,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
000970,2024,2024,한국주철관공업,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001080,2022,2022,만호제강,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001080,2023,2023,만호제강,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001080,2024,2024,만호제강,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001140,2022,2022,국보,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001140,2023,2023,국보,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001140,2024,2024,국보,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001210,2022,2022,금호전기,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001210,2023,2023,금호전기,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001210,2024,2024,금호전기,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001260,2022,2022,남광토건,C,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001260,2023,2023,남광토건,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001260,2024,2024,남광토건,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001340,2022,2022,백광산업,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001340,2023,2023,백광산업,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001340,2024,2024,PKC,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001360,2022,2022,삼성제약,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001360,2023,2023,삼성제약,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001360,2024,2024,삼성제약,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001380,2022,2022,SG글로벌,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001380,2023,2023,SG글로벌,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001380,2024,2024,SG글로벌,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001420,2022,2022,태원물산,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001420,2023,2023,태원물산,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001420,2024,2024,태원물산,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001470,2022,2022,삼부토건,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001470,2023,2023,삼부토건,C,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001470,2024,2024,삼부토건,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
001530,2022,2022,디아이동일,D,FAILED_REFETCH_NEEDED,fy2022 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001530,2023,2023,디아이동일,D,FAILED_REFETCH_NEEDED,fy2023 not collected in user pipeline,,FAILED_OUT_OF_USER_UNIVERSE
001530,2024,2024,디아이동일,D,FAILED_REFETCH_NEEDED,fy2024 not collected in user pipeline,,FAILED_FY2024_NOT_COLLECTED
